Table 1: Current Inventory
Serial#  Item  Quantity  Cost
3        x2    2         11  
14       x3    7         10  
15       x3    10        10  
22       x4    6         10  
23       x4    10        8   
24       x4    10        10  

Table 2: Cost Basis and Gains
Serial#  Item  Quantity  Cost Basis($)  Gains($)
2        x1    4         100            -56     
4        x2    1         55             -44     
5        x2    2         55             -22     
9        x1    4         300            -208    
10       x1    8         300            -104    
11       x1    14        300            92      
16       x3    4         500            -460    
17       x3    5         500            -360    
18       x3    8         500            -120    
19       x3    6         500            120     
20       x3    6         500            420     
21       x3    4         500            420     
25       x4    4         280            72      
